Designator,Mid X,Mid Y,Rotation,Layer
BT1,149.987,-100.053756,180.0,bottom
C3,145.376854,-105.625854,135.0,top
C4,158.242,-101.854,-135.0,top
D1,166.080179,-91.694,135.0,top
D10,159.004,-88.9,180.0,top
D11,134.584179,-106.898179,-45.0,top
D12,149.987,-91.694,180.0,top
D2,133.604,-91.694,-135.0,top
D3,141.224,-88.9,180.0,top
D4,141.224,-113.284,-45.0,top
D5,158.496,-113.284,45.0,top
D6,149.987,-120.65,0.0,top
D7,168.656,-98.552,90.0,top
D8,131.064,-98.552,-90.0,top
D9,165.1,-106.898179,45.0,top
F1,152.4,-96.647,45.0,top
Q1,149.987,-108.585,-90.0,top
R1,154.559,-105.537,-135.0,top
R2,157.48,-96.647,-45.0,top
R3,142.24,-96.647,-135.0,top
R4,161.671,-94.742,0.0,top
R5,142.494,-108.712,-45.0,top
R8,147.32,-96.647,135.0,top
R9,141.859,-101.854,-45.0,top
S1,149.987,-101.727,0.0,top
U1,149.733,-115.57,0.0,top
U2,150.114,-114.935,-90.0,top
